obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,WAPE_E2,mutu,skor_prioritas,kritis
BETADINE KUMUR,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,10.0,aman,0,,N/A,3,False
CAIRAN INFUS RINGER LAKTAT 500ML,intermittent,-,,-,C,E,1.8,5,7,10,21.0,aman,0,,N/A,3,False
CEFADROXIL 250MG SIRUP,data tidak cukup,aturan stok,,-,C,E,0.1,1,1,1,8.0,aman,0,,N/A,3,False
CEFIXIME SIRUP,intermittent,Croston,51.967641387559816,"az=0.05,ap=0.5",C,E,2.1,4,6,9,13.0,aman,0,81.9,Bad,3,False
CENDOXITROL TETES MATA STERIL,intermittent,-,,-,C,E,1.6,3,4,7,12.0,aman,0,,N/A,3,False
CETIRIZINE SIRUP,data tidak cukup,aturan stok,,-,C,E,1.2,6,7,11,8.0,aman,0,,N/A,3,False
Combivent Respule,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,,tidak diketahui,0,,N/A,3,False
DULCOLAX 5MG TABLET,intermittent,-,,-,C,E,4.8,16,21,33,50.0,aman,0,,N/A,3,False
Disposible syringe 10cc,data tidak cukup,aturan stok,,-,C,E,0.5,3,4,6,,tidak diketahui,0,,N/A,3,False
Disposible syringe 3cc,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,300.0,aman,0,,N/A,3,False
ERYTHROMYCIN 500 MG TABLET,lumpy,-,,-,C,E,14.2,47,61,95,399.0,aman,0,,N/A,3,False
EXTROPECT (AMBROXOL) SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,2,2,3,28.0,aman,0,,N/A,3,False
Erlamycetin Saleb Mata,data tidak cukup,aturan stok,,-,C,E,0.8,3,3,5,20.0,aman,0,,N/A,3,False
FLUTAMOL TABLET,lumpy,-,,-,C,E,10.8,55,66,99,570.0,aman,0,,N/A,3,False
Gencinolon,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,18.0,aman,0,,N/A,3,False
IBUPROFEN 400MG TABLET,lumpy,-,,-,B,N,72.2,138,211,340,300.0,aman,0,,N/A,3,False
"ILIADIN SPRAY 0,05%",data tidak cukup,aturan stok,,-,C,E,0.1,1,1,1,2.0,aman,0,,N/A,3,False
IMBOOST TABLET,data tidak cukup,aturan stok,,-,C,E,93.0,218,311,493,375.0,aman,0,,N/A,3,False
Infuset Dewasa,data tidak cukup,aturan stok,,-,C,E,0.5,3,3,5,21.0,aman,0,,N/A,3,False
KALBION TAB,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,300.0,aman,0,,N/A,3,False
KENALOG SALEP,intermittent,Croston,100.0,"az=0.35,ap=0.05",C,E,1.2,3,4,6,8.0,aman,0,80.1,Bad,3,False
Kasa Non Steril,data tidak cukup,aturan stok,,-,C,E,0.4,3,3,5,16.0,aman,0,,N/A,3,False
LANSOPRAZOLE KAPSUL,lumpy,SBA,176.05444498892234,"az=0.1,ap=0.5",C,E,17.5,33,50,81,180.0,aman,0,150.3,Tidak Layak,3,False
LASAL SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,1,2,2,5.0,aman,0,,N/A,3,False
LIBROFED (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,-,C,E,12.5,69,81,122,1650.0,aman,0,,N/A,3,False
MICROLAX RECTAL,data tidak cukup,aturan stok,,-,C,E,0.2,1,2,2,10.0,aman,0,,N/A,3,False
NATRIUM DIKLOFENAK 50 MG TAB,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,2046.0,aman,0,,N/A,3,False
NEURALGIN TABLET,intermittent,-,,-,C,E,2.5,10,13,19,230.0,aman,0,,N/A,3,False
Norages Injeksi,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,51.0,aman,0,,N/A,3,False
ONDANSETRON 4MG TABLET,intermittent,-,,-,C,E,12.8,36,49,76,140.0,aman,0,,N/A,3,False
ONDANSETRON INJEKSI,intermittent,-,,-,C,E,3.8,8,12,19,51.0,aman,0,,N/A,3,False
PECTORIN EXP SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,1,2,2,,tidak diketahui,0,,N/A,3,False
POLYSILANE 100ML,data tidak cukup,aturan stok,,-,C,E,0.8,5,6,9,,tidak diketahui,0,,N/A,3,False
PROMAVIT TABLET,data tidak cukup,aturan stok,,-,C,E,1.2,7,9,13,10.0,aman,0,,N/A,3,False
PROME SIRUP,lumpy,-,,-,C,E,2.8,13,16,23,29.0,aman,0,,N/A,3,False
PULMICORT NEBULIZER,intermittent,-,,-,C,E,0.3,2,2,3,6.0,aman,0,,N/A,3,False
RANITIDINE INJEKSI,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,143.0,aman,0,,N/A,3,False
RHINOS TABLET,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,538.0,aman,0,,N/A,3,False
SALBUTAMOL 2 MG TABLET,lumpy,Croston,100.0,"az=0.3,ap=0.15",C,E,7.1,25,32,50,155.0,aman,0,72.1,Bad,3,False
SANMOL SIRUP,data tidak cukup,aturan stok,,-,C,E,1.0,2,3,5,38.0,aman,0,,N/A,3,False
SCOPMA TAB (HYOSCINE BUTYLBROMIDE),data tidak cukup,aturan stok,,-,C,E,1.1,6,7,10,480.0,aman,0,,N/A,3,False
SUCRALFATE SIRUP,lumpy,-,,-,C,E,1.8,6,7,11,10.0,aman,0,,N/A,3,False
Sanadryl Ekspektoran 120 ml,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,28.0,aman,0,,N/A,3,False
TEMPRA SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,1,2,2,,tidak diketahui,0,,N/A,3,False
THROMBOPOP Gel,data tidak cukup,aturan stok,,-,C,E,0.5,3,3,5,10.0,aman,0,,N/A,3,False
TIFALSIC (PARASETAMOL + IBUPROFEN) TABLET,intermittent,-,,-,C,E,2.5,10,13,19,598.0,aman,0,,N/A,3,False
VENTOLIN NEBULLIZER,intermittent,-,,-,C,E,1.3,4,5,8,8.0,aman,0,,N/A,3,False
VENTOLIN SIRUP,data tidak cukup,aturan stok,,-,C,E,0.1,1,1,1,,tidak diketahui,0,,N/A,3,False
"Verban elastis 15cm x 4,5m",intermittent,-,,-,C,E,1.8,8,10,15,16.0,aman,0,,N/A,3,False
"Verban elastis 7,5cm x 4,5m",lumpy,-,,-,C,E,2.1,8,10,15,26.0,aman,0,,N/A,3,False
BEDAK SALISYL,data tidak cukup,aturan stok,,-,C,N,0.1,1,1,2,9.0,aman,0,,N/A,2,False
BENOSON-G SALEP,intermittent,-,,-,C,N,0.2,1,2,2,10.0,aman,0,,N/A,2,False
BENOSON-N 15 G SALEP,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,N,2.5,4,7,11,12.0,aman,0,76.6,Bad,2,False
BIOPLACENTON,data tidak cukup,aturan stok,,-,C,N,0.0,0,0,0,16.0,aman,0,,N/A,2,False
CALLUSOL,intermittent,-,,-,C,N,2.0,3,5,9,6.0,aman,0,,N/A,2,False
COMBANTRIN 250 MG TABLET,intermittent,SBA,43.30742608399347,"az=0.05,ap=0.05",C,N,5.8,10,15,25,122.0,aman,0,56.2,Bad,2,False
FARSIFEN PLUS (PARASETAMOL + IBUPROFEN) TABLET,lumpy,-,,-,C,N,3.3,15,18,27,330.0,aman,0,,N/A,2,False
HYDROCORTISONE SALEP,lumpy,SBA,171.875,"az=0.5,ap=0.5",C,N,2.2,5,7,11,34.0,aman,0,56.5,Bad,2,False
INERSONE SALEP,data tidak cukup,aturan stok,,-,C,N,0.1,1,1,1,2.0,aman,0,,N/A,2,False
INFUSET MAKRO,data tidak cukup,aturan stok,,-,C,N,0.2,1,2,2,17.0,aman,0,,N/A,2,False
KASA,data tidak cukup,aturan stok,,-,C,N,0.0,0,0,0,16.0,aman,0,,N/A,2,False
Lidocain injeksi,data tidak cukup,aturan stok,,-,C,N,13.4,45,58,90,,tidak diketahui,0,,N/A,2,False
SIMVASTATIN 10 MG TABLET,data tidak cukup,aturan stok,,-,C,N,0.9,5,6,9,290.0,aman,0,,N/A,2,False
SIMVASTATIN 20 MG TABLET,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,N,2.5,10,13,19,255.0,aman,0,90.9,Bad,2,False
STIK ASAM URAT,intermittent,Croston,98.25581395348837,"az=0.1,ap=0.1",C,N,4.2,16,20,31,50.0,aman,0,107.1,Tidak Layak,2,False
STIK CHOLESTROL,intermittent,Croston,98.25581395348838,"az=0.1,ap=0.1",C,N,3.3,13,16,25,40.0,aman,0,107.1,Tidak Layak,2,False
