obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,skor,kritis
SCABIMITE SALEB 30G,data tidak cukup,aturan stok,,-,C,V,0.2,1,2,2,0.0,DI BAWAH MIN,2.0,4,True
SCABIMITE SALEB 10G,data tidak cukup,aturan stok,,-,C,V,0.1,1,1,1,0.0,DI BAWAH MIN,1.0,4,True
Betadine 15 ml,data tidak cukup,aturan stok,,-,C,V,0.1,1,1,1,1.0,DI BAWAH MIN,0.0,4,True
ULTRAFIX,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,0.0,DI BAWAH MIN,0.0,4,True
superhoid Supp,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,0.0,DI BAWAH MIN,0.0,4,True
HISTIGO (BETAHISTIN) 6 MG TABLET,smooth,SES,61.16815256323931,alpha=0.17,B,N,72.2,78,150,255,62.0,DI BAWAH MIN,193.0,3,True
MADU TJ SACHET,lumpy,SBA,100.38375590197224,"az=0.05,ap=0.05",C,E,9.8,40,50,76,7.0,DI BAWAH MIN,69.0,3,True
TREMENZA TAB,data tidak cukup,aturan stok,,-,C,E,16.7,92,108,163,100.0,DI BAWAH MIN,63.0,3,True
AMBEVEN TABLET,intermittent,Croston,36.81599241775804,"az=0.95,ap=0.05",C,E,25.0,36,61,101,40.0,DI BAWAH MIN,61.0,3,True
CURVIT TABLET,lumpy,-,,-,C,E,9.2,25,34,53,15.0,DI BAWAH MIN,38.0,3,True
HOT IN CREAM  60G,intermittent,-,,-,C,E,6.9,15,22,36,7.0,DI BAWAH MIN,29.0,3,True
KETOROLAC INJEKSI,erratic,SES,31.75573584850799,alpha=0.04,C,E,8.0,15,23,37,9.0,DI BAWAH MIN,28.0,3,True
DEXAMETHASONE INJEKSI,erratic,SES,363.3643929600001,alpha=0.6,C,E,5.7,17,22,35,10.0,DI BAWAH MIN,25.0,3,True
HUFABETHAMINE SIRUP,erratic,SES,8.135617331200002,alpha=0.6,C,E,7.5,10,17,29,4.0,DI BAWAH MIN,25.0,3,True
FIBUMIN KAP,data tidak cukup,aturan stok,,-,C,E,3.3,19,22,33,10.0,DI BAWAH MIN,23.0,3,True
BUSCOPAN INJEKSI,intermittent,-,,-,C,E,4.4,8,12,20,2.0,DI BAWAH MIN,18.0,3,True
WOODS ANTITUSIVE SIRUP 100ML,lumpy,SBA,1000.2298149144492,"az=0.05,ap=0.05",C,E,3.1,9,12,18,1.0,DI BAWAH MIN,17.0,3,True
WOODS EKSPEKTORAN SIRUP 100ML,smooth,SES,140.53202477271782,alpha=0.01,C,E,5.9,7,13,22,6.0,DI BAWAH MIN,16.0,3,True
COUNTERPAIN CREAM 30G,intermittent,-,,-,C,E,3.5,9,13,20,5.0,DI BAWAH MIN,15.0,3,True
HUFAGRIP BP HIJAU SIRUP,intermittent,Croston,100.0,"az=0.05,ap=0.95",C,E,3.9,8,12,19,6.0,DI BAWAH MIN,13.0,3,True
LERZIN (CETIRIZIN) SIRUP,data tidak cukup,aturan stok,,-,C,E,10.0,0,10,20,8.0,DI BAWAH MIN,12.0,3,True
PLANTACYD SIRUP,lumpy,-,,-,C,E,2.1,5,8,12,1.0,DI BAWAH MIN,11.0,3,True
CENDO LYTERS TETES MATA,data tidak cukup,aturan stok,,-,C,E,1.7,4,6,9,0.0,DI BAWAH MIN,9.0,3,True
IMBOOST KIDS SIRUP,intermittent,-,,-,C,E,1.8,4,6,10,3.0,DI BAWAH MIN,7.0,3,True
