obat,kategori_demand,metode_terbaik,WAPE_test,metode_cv,WAPE_test_cv,delta
HISTIGO (BETAHISTIN) 6 MG TABLET,smooth,SES,61.2,SES,72.2,11.0
HOT IN CREAM  60G,intermittent,-,,-,,
HOT IN DCL SALEP 30 gr,data tidak cukup,aturan stok,,aturan stok,,
HUFABETHAMINE SIRUP,erratic,SES,13.4,SES,8.1,-5.3
HUFAGRIP BP HIJAU SIRUP,intermittent,Croston,100.0,Croston,100.0,0.0
HYDROCORTISON CREAM 1%,data tidak cukup,aturan stok,,aturan stok,,
HYDROCORTISONE SALEP,lumpy,SBA,104.9,SBA,206.4,101.5
IBUPROFEN 400MG TABLET,lumpy,-,,-,,
"ILIADIN SPRAY 0,05%",data tidak cukup,aturan stok,,aturan stok,,
IMBOOST KIDS SIRUP,intermittent,-,,-,,
IMBOOST TABLET,data tidak cukup,aturan stok,,aturan stok,,
INERSONE SALEP,data tidak cukup,aturan stok,,aturan stok,,
INFUSET MAKRO,data tidak cukup,aturan stok,,aturan stok,,
INTERZINC SIRUP,intermittent,Croston,100.0,Croston,100.0,0.0
INTRIZIN TAB (CETIRIZIN),lumpy,-,,-,,
Infuset Dewasa,data tidak cukup,aturan stok,,aturan stok,,
KALBION TAB,data tidak cukup,aturan stok,,aturan stok,,
KASA,data tidak cukup,aturan stok,,aturan stok,,
KASA STERIL,lumpy,-,,-,,
KENALOG SALEP,intermittent,Croston,100.0,Croston,100.0,0.0
KETOCONAZOLE SALEP,lumpy,SBA,419.2,SBA,328.5,-90.7
KETONAZOLE 200MG TABLET,lumpy,Croston,646.6,Croston,715.9,69.3
KETOROLAC INJEKSI,erratic,SES,153.2,SES,31.8,-121.4
Kasa Non Steril,data tidak cukup,aturan stok,,aturan stok,,
L-BIO,intermittent,Croston,100.0,Croston,100.0,0.0
LACTO B,intermittent,-,,-,,
LACYS (ACETYLSISTEIN),data tidak cukup,aturan stok,,aturan stok,,
LANSOPRAZOLE KAPSUL,lumpy,SBA,136.1,Croston,166.9,30.8
LASAL SIRUP,data tidak cukup,aturan stok,,aturan stok,,
LERZIN (CETIRIZIN) SIRUP,data tidak cukup,aturan stok,,aturan stok,,
LIBROFED (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,aturan stok,,
Lidocain injeksi,data tidak cukup,aturan stok,,aturan stok,,
MADU TJ SACHET,lumpy,SBA,100.4,Croston,100.1,-0.3
METHYLPREDNISOLON 8MG TAB,lumpy,-,,-,,
METHYLPREDNISOLONE 4 MG TABLET,erratic,SES,40.3,SES,32.2,-8.1
METRONIDAZOLE 500MG TABLET,smooth,SES,456.1,SES,689.2,233.1
MICROLAX RECTAL,data tidak cukup,aturan stok,,aturan stok,,
NATRIUM DIKLOFENAK 50 MG TAB,data tidak cukup,aturan stok,,aturan stok,,
NEO-PROTIFED (TRIPROLIDIN + PSEUDOEFEDRIN) TAB,intermittent,-,,-,,
NEURALGIN TABLET,intermittent,-,,-,,
NEUROBION FORTE/PINK TABLET,lumpy,SBA,191.9,SBA,698.6,506.7
NEUROBION PUTIH TABLET,smooth,SES,28.0,SES,29.9,1.9
Norages Injeksi,data tidak cukup,aturan stok,,aturan stok,,
OMEGTAMINE TAB,intermittent,-,,-,,
OMEPRAZOLE KAPSUL,erratic,SES,50.1,SES,49.7,-0.4
ONDANSETRON 4MG TABLET,intermittent,-,,-,,
ONDANSETRON INJEKSI,intermittent,-,,-,,
ORALITE,smooth,SES,69.8,SES,70.0,0.2
PAMOL TAB 500MG (PARACETAMOL TAB),data tidak cukup,aturan stok,,aturan stok,,
PARACETAMOL 500MG TABLET,data tidak cukup,aturan stok,,aturan stok,,
PARACETAMOL INFUS,intermittent,-,,-,,
